# Row Date Midpoint VisitID Chip RA Dec eRA eDec Band Mag eMag Phase r
# - - TAI - - deg deg arcsec arcsec - - - deg au
1 2025-06-21 08:11:32 2025062000620 104 276.513300 -18.755701 0.043 0.050 z nan nan 1.630 4.837
2 2025-06-22 02:32:47 2025062100383 38 nan nan nan nan g nan nan 1.470 4.812
3 2025-06-22 03:07:49 2025062100431 38 nan nan nan nan r nan nan 1.465 4.811
4 2025-06-24 03:07:46 2025062300417 77 nan nan nan nan i nan nan 1.120 4.744
5 2025-06-30 02:26:26 2025062900393 9 nan nan nan nan i nan nan 1.684 4.545
6 2025-07-02 00:44:25 2025070100200 119 271.447823 -18.684875 0.084 0.077 i 17.722 0.05 2.233 4.480
7 2025-07-02 01:20:33 2025070100248 119 271.434746 -18.684645 0.063 0.067 z 17.610 0.10 2.240 4.479
8 2025-07-02 02:31:16 2025070100350 119 271.409146 -18.684044 0.050 0.060 z 17.542 0.10 2.255 4.478
9 2025-07-02 03:33:02 2025070100399 119 271.386660 -18.683526 0.049 0.046 i 17.709 0.05 2.268 4.476
10 2025-07-03 01:53:12 2025070200188 6 nan nan nan nan i nan nan 2.557 4.445
11 2025-07-03 03:03:56 2025070200274 6 270.873594 -18.670730 0.039 0.041 z nan nan 2.573 4.444
12 2025-07-03 06:25:00 2025070200479 94 nan nan nan nan r nan nan 2.618 4.439
13 2025-07-03 06:27:17 2025070200480 94 270.798445 -18.668739 0.086 0.100 r nan nan 2.618 4.439
14 2025-07-03 06:32:03 2025070200481 94 270.796728 -18.668700 0.080 0.106 r 17.934 0.03 2.619 4.439
15 2025-07-03 06:36:22 2025070200482 94 270.795081 -18.668671 0.073 0.076 r 17.942 0.03 2.620 4.439
16 2025-07-03 06:48:53 2025070200483 94 270.790488 -18.668570 0.089 0.096 r 17.941 0.03 2.623 4.438
17 2025-07-03 06:49:27 2025070200484 94 270.790243 -18.668547 0.084 0.104 r 17.946 0.03 2.623 4.438
18 2025-07-03 06:50:17 2025070200485 94 270.789975 -18.668545 0.075 0.060 r 17.947 0.03 2.623 4.438
19 2025-07-03 06:50:52 2025070200486 94 270.789724 -18.668519 0.064 0.077 r 17.950 0.03 2.623 4.438
20 2025-07-03 06:51:47 2025070200487 94 270.789388 -18.668523 0.069 0.070 r 17.956 0.03 2.624 4.438
21 2025-07-03 06:52:21 2025070200488 94 270.789171 -18.668512 0.050 0.073 r 17.954 0.03 2.624 4.438
22 2025-07-03 06:53:16 2025070200489 94 270.788852 -18.668532 0.058 0.074 r 17.953 0.03 2.624 4.438
23 2025-07-03 06:53:51 2025070200490 94 270.788645 -18.668511 0.051 0.064 r 17.949 0.03 2.624 4.438
24 2025-07-03 06:54:40 2025070200491 94 270.788325 -18.668504 0.051 0.063 r 17.948 0.03 2.624 4.438
25 2025-07-03 06:55:15 2025070200492 94 270.788133 -18.668489 0.050 0.060 r 17.952 0.03 2.624 4.438
26 2025-07-03 06:58:56 2025070200493 94 270.786767 -18.668463 0.062 0.065 r 17.951 0.03 2.625 4.438
27 2025-07-03 06:59:30 2025070200494 94 270.786568 -18.668443 0.063 0.070 r 17.955 0.03 2.625 4.438
